Estabelecimento de tratamento;cnes
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;0008028
0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR;0008036
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOE;0008052
0008753 INSTITUTO DE RADIOTERAPIA DO ABC;0008753
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON;0008923
0009369 CENON CENTRO DE ONCOLOGIA RADIOTERAPICA DO;0009369
0009539 HOSPITAL MATERNO INFANTIL ANTONINHO DA ROC;0009539
0009601 HOSPITAL PIO XII;0009601
0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLO;0009628
0009709 EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIA;0009709
0009717 SANTA CASA;0009717
0009725 HOSPITAL REGIONAL DE MATO GROSSO DO SUL;0009725
0009733 HOSPITAL SAO JULIAO;0009733
0009768 ASSOCIACAO DE AMPARO A MATERNIDADE E A INF;0009768
0009776 HOSPITAL DO CANCER DR ALFREDO ABRAO;0009776
0010456 HOSPITAL DE BASE DO DISTRITO FEDERAL;0010456
0010464 HRAN;0010464
0010472 HRG;0010472
0010480 HOSPITAL REGIONAL DE CEILANDIA;0010480
0010499 HRT HOSPITAL REGIONAL DE TAGUATINGA;0010499
0010502 HRS;0010502
0010510 HOSPITAL UNIVERSITARIO DE BRASILIA;0010510
0010529 HRPL;0010529
0010537 HOSPITAL MATERNO INFANTIL DR ANTONIO LISBO;0010537
0010545 HRBZ;0010545
0011738 HOSPITAL SANTA RITA DE CASSIA;0011738
0011746 HOSPITAL DA SANTA CASA DE MISERICORDIA DE;0011746
0011800 HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA;0011800
0011819 HOSPITAL SAO LUCAS;0011819
0011843 SANTA CASA DE MISERICORDIA DE VITORIA UNID;0011843
0012017 HOSPITAL DA POLICIA MILITAR HPM;0012017
0012505 HOSPITAL UNIVERSITARIO ANTONIO PEDRO;0012505
0012513 HOSPITAL MUNICIPAL CARLOS TORTELLY;0012513
0012521 SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA;0012521
0012556 HOSPITAL ORENCIO DE FREITAS;0012556
0013633 HOSPITAL ANGELINA CARON;0013633
0013838 HOSPITAL SAO LUCAS;0013838
0013846 HOSPITAL DO ROCIO;0013846
0014095 CISCOMCAM;0014095
0014109 HOSPITAL SANTA CASA DE MISERICORDIA;0014109
0014125 CENTER CLINICAS;0014125
0015245 HOSPITAL UNIVERSITARIO EVANGELICO MACKENZI;0015245
0015334 HOSPITAL SANTA CASA DE CURITIBA;0015334
0015369 COMPLEXO HOSPITALAR DO TRABALHADOR;0015369
0015407 HOSPITAL UNIVERSITARIO CAJURU;0015407
0015423 CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO;0015423
0015563 HOSPITAL INFANTIL PEQUENO PRINCIPE;0015563
0015598 CLINICA PARANAENSE DE TUMORES SC;0015598
0015636 HOSPITAL DE OLHOS DO PARANA;0015636
0015644 HOSPITAL ERASTO GAERTNER;0015644
0015660 HOSPITAL E MATERNIDADE SANTA MADALENA SOFI;0015660
0016209 HOSPITAL DA VISAO;0016209
0017612 HOSPITAL E MATERNIDADE ITAPERUCU;0017612
0017663 HOSPITAL REGIONAL DA LAPA SAO SEBASTIAO;0017663
0017779 HOSPITAL MUNICIPAL DE MANDIRITUBA;0017779
0017868 POLICLINICA PATO BRANCO;0017868
0017884 ISSAL;0017884
0018392 HOSPITAL PIRAQUARA;0018392
0018694 HOSPITAL BOM JESUS;0018694
0019283 MATERNIDADE CARMELA DUTRA;0019283
0019305 HOSPITAL FLORIANOPOLIS;0019305
0019402 IMPERIAL HOSPITAL DE CARIDADE;0019402
0019445 CEPONSC;0019445
0022810 UNIDADE DE REFERENCIA SECUNDARIA CENTRO SU;0022810
0022942 UNIDADE DE REFERENCIA SECUNDARIA SAGRADA F;0022942
0025135 HOSPITAL MUNICIPAL SAO JOAO BATISTA;0025135
0025143 HOSPITAL MUNICIPAL DR MUNIR RAFFUL;0025143
0025186 HINJA;0025186
0026050 HOSPITAL SANTA CECILIA;0026050
0026719 CENTRO OFTALMOLOGICO DE MINAS GERAIS;0026719
0026794 HOSPITAL SOFIA FELDMAN;0026794
0026808 HOSPITAL EVANGELICO DE BELO HORIZONTE;0026808
0026840 COMPLEXO HOSPITALAR SAO FRANCISCO;0026840
0026859 HOSPITAL FELICIO ROCHO;0026859
0026921 HOSPITAL JOAO XXIII;0026921
0026964 HOSPITAL ALBERTO CAVALCANTI;0026964
0026972 MATERNIDADE ODETE VALADARES;0026972
0027014 SANTA CASA DE BELO HORIZONTE;0027014
0027022 HOSPITAL JULIA KUBITSCHEK;0027022
0027049 HOSP DAS CLINICAS DA UNIV FED DE MINAS GER;0027049
0027863 HOSPITAL RISOLETA TOLENTINO NEVES;0027863
0073482 HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPI;0073482
0086673 HOSPITAL ESTADUAL LEONARDO DA VINCI;0086673
0092894 HOSPITAL REGIONAL DO LITORAL NORTE;0092894
0105317 HOSPITAL MUNICIPAL OCEANICO DR GILSON CANT;0105317
0109266 HOSPITAL NAIR ALVES DE SOUZA SMS;0109266
0110140 UNIDADE DE POLIATENDIMENTO EM SAUDE;0110140
0136581 HOSPITAL METROPOLITANO DE ALAGOAS;0136581
0179817 HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAIT;0179817
0181277 HOSPITAL REGIONAL HILDA STRENGER RIBEIRO;0181277
0188425 HOSPITAL REGIONAL DR RUBENS JORGE;0188425
0196231 HOSPITAL REGIONAL DR KLEBER CARVALHO BRANC;0196231
0213837 HOSPITAL DE RETAGUARDA DE RONDONIA;0213837
0220337 HOSPITAL DE CLINICAS DE CAMPINA GRANDE;0220337
0254460 HOSPITAL PUBLICO GERAL DE CASTELO DOS SONH;0254460
0265500 US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA I;0265500
0404853 AME AMBULATORIO MEDICO DE ESPECIALIDADES D;0404853
0547484 HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO;0547484
0616036 HOSPITAL ALFREDO ABRAHAO;0616036
0664200 UNIDADE HOSPITALAR SANTO AMARO;0664200
0806285 HOSPITAL REGIONAL DO ALTO SERTAO;0806285
0854646 ASSOCIACAO HOSPITALAR BENEFICENTE MOACIR M;0854646
0901725 HOSPITAL REGIONAL HILDA STRENGER RIBEIRO;0901725
0965324 HOSPITAL ESTADUAL DA CRIANCA E DO ADOLESCE;0965324
2000121 HOSPITAL DR SANSAO GOMES;2000121
2000296 HOSPITAL DA MULHER E DA CRIANCA DO JURUA;2000296
2000733 MATERNIDADE E CLINICAS DE MULHERES BARBARA;2000733
2000865 HOSPITAL JOAO CANCIO FERNANDES;2000865
2001500 HOSPITAL DE CLINICAS RAIMUNDO CHAAR;2001500
2001578 HOSPITAL GERAL DE CLINICAS DE RIO BRANCO;2001578
2001586 FUNDHACRE;2001586
2002078 HOSPITAL SANTA JULIANA;2002078
2003775 SANTA CASA DE MISERICORDIA DE PENEDO;2003775
2004976 HOSPITAL MEMORIAL DJACY BARBOSA;2004976
2005026 CASA DE SAUDE E MAT N SRA DE FATIMA LTDA;2005026
2005050 HOSPITAL REGIONAL DE ARAPIRACA;2005050
2005417 CHAMA;2005417
2006197 HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNE;2006197
2006340 CASA DE SAUDE SANTO ANTONIO;2006340
2006359 SANATORIO HOSPITAL GERAL;2006359
2006405 CASA DE SAUDE E MATERNIDADE NOSSA SR DE FA;2006405
2006421 HOSPITAL ORTOPEDICO DE MACEIO;2006421
2006448 HOSPITAL VEREDAS;2006448
2006510 HOSPITAL GERAL DO ESTADO DR OSVALDO BRANDA;2006510
2006944 HOSPITAL DE OLHOS SANTA LUZIA;2006944
2006960 HOSPITAL VIDA;2006960
2006979 INSTITUTO DE OLHOS DE MACEIO;2006979
2007037 SANTA CASA DE MISERICORDIA DE MACEIO;2007037
2009250 MATERNIDADE ESCOLA SANTA MONICA;2009250
2010151 SANTA CASA DE MISERICORDIA DE SAO MIGUEL D;2010151
2010356 CARVALHO BELTRAO SERVICOS DE SAUDE LTDA;2010356
2010631 HOSPITAL REGIONAL SANTA RITA E MATERNIDADE;2010631
2011166 HOSPNOSSA SENHORA DE LOURDES E MAT ARMANDO;2011166
2011689 UNIDADE ANTONIO VIEIRA FILHO;2011689
2011875 UNIDADE HOSPITALAR DE JUTAI;2011875
2011891 HOSPITAL RAIMUNDO RODRIGUES IRMAO;2011891
2011905 UNIDADE HOSPITALAR DE NOVA OLINDA DO NORTE;2011905
2012022 UNIDADE HOSPITALAR DE BARREIRINHA;2012022
2012030 HOSPITAL E P S DA CRIANCA DA ZONA LESTE;2012030
2012383 HOSPITAL DE BORBA VO MUNDOCA;2012383
2012499 UNIDADE HOSPITALAR DE BOCA DO ACRE;2012499
2012553 UNIDADE HOSPITALAR DE TAPAUA;2012553
2012618 UNIDADE HOSPITALAR DE LABREA;2012618
2012677 FUNDACAO CECON;2012677
2012685 FUNDACAO HOSPITAL ADRIANO JORGE;2012685
2012839 UNIDADE HOSPITALAR DE IRANDUBA;2012839
2013258 HOSPITAL GERAL DE MANACAPURU;2013258
2013282 UNIDADE HOSPITALAR DE APUI;2013282
2013320 HOSPITAL GERAL ERALDO NEVES FALCAO;2013320
2013614 UNIDADE HOSPITALAR DE IPIXUNA;2013614
2013649 HOSPITAL PRONTO SOCORRO 28 DE AGOSTO;2013649
2014688 UNIDADE HOSPITALAR DE MANICORE;2014688
2015242 UNIDADE HOSPITALAR DE BARCELOS;2015242
2016125 HOSPITAL DE GUARNICAO DE TABATINGA;2016125
2016141 HOSPITAL REGIONAL DE TEFE;2016141
2016397 UNIDADE HOSPITALAR DE EIRUNEPE;2016397
2016419 UNIDADE HOSPITALAR DE CANUTAMA;2016419
2016478 UNIDADE HOSPITALAR DE SANTA ISABEL DO RIO;2016478
2016540 UNIDADE HOSPITALAR DE NHAMUNDA;2016540
2016605 UNIDADE HOSPITALAR DE BERURI;2016605
2016648 UNIDADE HOSPITALAR DE AMATURA;2016648
2016656 UNIDADE HOSPITALAR DE CAAPIRANGA;2016656
2016893 HOSPITAL PADRE COLOMBO;2016893
2016923 HOSPITAL REGIONAL JOSE MENDES;2016923
2016974 HOSPITAL GERAL DE BENJAMIN CONSTANT DOUTOR;2016974
2017016 HOSPITAL DR LUIZA DA CONCEICAO FERNANDES;2017016
2017431 INSTITUTO DE SAUDE DA CRIANCA DO AMAZONAS;2017431
2017555 UNIDADE HOSPITALAR DE CARAUARI;2017555
2017644 HOSPITAL UNIVERSITARIO GETULIO VARGAS HUGV;2017644
2017652 UNIDADE HOSPITALAR DE CASTANHO;2017652
2017679 HOSPITAL FRANCISCO SALES DE MOURA;2017679
2017717 HOSPITAL REGIONAL DE FONTE BOA;2017717
2017768 UNIDADE HOSPITALAR DE ALVARAES;2017768
2017849 HOSPITAL INFANTIL DR FAJARDO;2017849
2018071 HOSPITAL E P S DA CRIANCA DA ZONA OESTE;2018071
2018128 UNIDADE HOSPITALAR DE SAO PAULO DE OLIVENC;2018128
2018136 HOSPITAL REGIONAL DE COARI PREF DR ODAIR C;2018136
2018144 HOSPITAL DE MAUES DONA MUNDIQUINHA;2018144
2018330 OCULISTAS ASSOCIADOS DE MANAUS;2018330
2018381 UNIDADE HOSPITALAR DE PAUINI;2018381
2018403 HOSPITAL UNIVERSITARIO FRANCISCA MENDES;2018403
2018748 POLICLINICA GOVERNADOR GILBERTO MESTRINHO;2018748
2018756 POLICLINICA CODAJAS;2018756
2019574 HOSPITAL P S DR JOAO LUCIO P MACHADO;2019574
2020068 SES AP HOSPITAL DA MULHER;2020068
2020076 SES AP HOSPITAL ESTADUAL DE LARANJAL DO JA;2020076
2020645 SES AP HOSPITAL DE CLINICAS DOUTOR ALBERTO;2020645
2020653 SES AP HOSPITAL DE EMERGENCIA;2020653
2020890 HOSPITAL SAO CAMILO E SAO LUIS;2020890
2021064 SES AP HOSPITAL ESTADUAL DE SANTANA;2021064
2021463 SES AP HOSPITAL ESTADUAL DE OIAPOQUE;2021463
2022621 MATERNIDADE DE CAMPINAS;2022621
2023016 CASA DE CARIDADE SAO VICENTE DE PAULO CAJU;2023016
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;2023474
2023644 HOSPITAL BENEFICENTE SANTA GERTRUDES;2023644
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;2023709
2024691 SANTA CASA DE CRUZEIRO;2024691
2024756 HOSPITAL E MATERNIDADE NOSSA SENHORA DA AJ;2024756
2025361 HOSPITAL ANCHIETA;2025361
2025477 HOSPITAL E MATERNIDADE SANTA ISABEL DE JAB;2025477
2025507 HOSPITAL DAS CLINICAS HCFAMEMA;2025507
2025523 HCFAMEMA UNIDADE MATERNO INFANTIL;2025523
2025752 SANTA CASA DE SANTOS;2025752
2026805 SANTA CASA DE GUARIBA;2026805
2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA;2027186
2027356 HOSPITAL MUNICIPAL UNIVERSITARIO;2027356
2028204 SANTA CASA DE MONTE ALTO;2028204
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO;2028840
2030705 INSTITUTO DE RADIOTERAPIA PRESIDENTE PRUDE;2030705
2033704 CENTRO DE SAUDE DE PIRAJUI II DR JORGE MEI;2033704
2040069 HOSPITAL MATERNIDADE JESUS JOSE E MARIA;2040069
2040573 AMBULAT DE ESPECIALIDADES E HOSPITAL DIA D;2040573
2040751 AMBULATORIO DE ESPECIALIDADES II;2040751
2053500 HOSPITAL SENHOR BOM JESUS;2053500
2057441 CENTRO ESPECIALIZADO EM SAUDE DA MULHER PI;2057441
2058308 HOSPITAL MUNICIPAL DR ACILIO CARREON GARCI;2058308
2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;2058790
2065665 HOSPITAL MATERNIDADE INTERLAGOS;2065665
2066092 HOSPITAL GERAL DE PEDREIRA;2066092
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSI;2066572
2068974 PAM VARZEA DO CARMO NGA 63 SAO PAULO;2068974
2069008 AMBULATORIO DE ESPECIALIDADES DR GERALDO P;2069008
2069776 HOSPITAL DE URGENCIA;2069776
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO;2071371
2071568 HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO;2071568
2073323 AMBULATORIO DE ESPECIALIDADES DE AMPARO;2073323
2074257 CEMEG CENTRO;2074257
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;2075717
2075962 HOSP DA STA CASA DE STO AMARO;2075962
2076896 HOSPITAL SAO LUIZ GONZAGA;2076896
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;2076926
2077388 HOSPITAL AMPARO MATERNAL;2077388
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;2077396
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIA;2077426
2077434 HOSPITAL DR LEOPOLDO BEVILACQUA;2077434
2077450 HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;2077450
2077469 HOSP DOM ALVARENGA;2077469
2077477 HOSPITAL SANTA MARCELINA SAO PAULO;2077477
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA U;2077485
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;2077493
2077507 HOSPITAL LEFORTE LIBERDADE;2077507
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL;2077523
2077531 A C CAMARGO CANCER CENTER;2077531
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;2077574
2077582 HOSPITAL NOSSA SENHORA DA PIEDADE;2077582
2077590 IBCC;2077590
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PA;2077620
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;2077639
2077647 SANTA CASA DE MIS DE ADAMANTINA NA PROVIDE;2077647
2077655 ASSOC AACD V CLEMENTINO;2077655
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN A;2077671
2077701 HOSPITAL E MATERNIDADE LEONOR MENDES DE BA;2077701
2077752 HOSP MONUMENTO CEHM;2077752
2077957 CENTRO DE REFERENCIA E TREINAMENTO DST AID;2077957
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAUL;2078015
2078023 HOSPITAL SAO LUCAS;2078023
2078074 SANTA CASA DE LEME;2078074
2078104 HOSPITAL GERAL DE ITAPEVI;2078104
2078139 SANTA CASA DE PRESIDENTE VENCESLAU;2078139
2078155 HOSPITAL STELLA MARIS;2078155
2078252 SANTA CASA DE BIRIGUI;2078252
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SA;2078287
2078295 SANTA CASA DE TAQUARITINGA;2078295
2078325 HOSP MUN INFANTIL MENINO JESUS;2078325
2078341 ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CO;2078341
2078414 SANTA CASA DE GUAIRA;2078414
2078422 FUNBEPE PEDREIRA;2078422
2078449 SANTA CASA DE PATROCINIO PAULISTA;2078449
2078473 HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILV;2078473
2078503 SANTA CASA DE PENAPOLIS;2078503
2078511 HOSPITAL REGIONAL DE ILHA SOLTEIRA;2078511
2078546 SANTA CASA SAO BENTO DO SAPUCAI;2078546
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;2078562
2078589 HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZ;2078589
2078775 SANTA CASA DE ARACATUBA HOSPITAL SAGRADO C;2078775
2078813 HOSPITAL OFTALMOLOGICO DE SOROCABA;2078813
2078848 SANTA CASA ANNA CINTRA;2078848
2078902 SANTA CASA PILAR DO SUL;2078902
2079097 SANTA CASA DE CAPAO BONITO;2079097
2079119 CENTRO DE REF DA SAUDE DA MULHER DE R PRET;2079119
2079135 SANTA CASA DE MISERICORDIA DE TATUI;2079135
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILV;2079186
2079232 HOSPITAL SANTA BARBARA;2079232
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUA;2079240
2079291 SANTA CASA DE PALMEIRA DOESTE;2079291
2079321 HOSPITAL GPACI SOROCABA;2079321
2079348 SANTA CASA DE IGARAPAVA;2079348
2079399 SANTA CASA DE MISERICORDIA TABATINGA SP;2079399
2079402 SANTA CASA SAO VICENTE DE PAULO BOA ESPERA;2079402
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULH;2079410
2079429 SANTA CASA SALTO DE PIRAPORA;2079429
2079437 HOSPITAL BENEFICENTE DE MARACAI;2079437
2079518 SANTA CASA DE MIS E MATERNIDADE N SRA DA C;2079518
2079569 HOSPITAL SAO PAULO;2079569
2079593 HOSPITAL SAO JOAO REGISTRO;2079593
2079615 HOSPITAL MUNICIPAL DE IBIUNA IBIUNA SP;2079615
2079704 HOSPITAL DR RENATO SILVA DE SOCORRO;2079704
2079720 HOSPITAL GUILHERME ALVARO SANTOS;2079720
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPIN;2079798
2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;2079828
2079836 SANTA CASA DE MISERICORDIA ITAPOLIS;2079836
2079860 SANTA CASA DE SUZANO;2079860
2079879 SANTA CASA DE TAQUARITUBA;2079879
2079895 SANTA CASA DE MISERICORDIA DE JALES;2079895
2079909 HOSP BENEFICENTE DE PIRANGI;2079909
2079917 SANTA CASA DE LOUVEIRA;2079917
2079925 SANTA CASA DE PORTO FELIZ;2079925
2079976 SANTA CASA DE LARANJAL PAULISTA;2079976
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;2080028
2080044 SANTA CASA DE SAO JOAQUIM DA BARRA;2080044
2080052 HOSPITAL NOSSA SENHORA APARECIDA;2080052
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO;2080079
2080087 SANTA CASA DE MISERICORDIA DE TIETE;2080087
2080095 SANTA CASA DE JOSE BONIFACIO;2080095
2080109 SANTA CASA DE POPULINA;2080109
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;2080125
2080184 HOSPITAL MUNICIPAL;2080184
2080222 SANTA CASA DE CACONDE;2080222
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO AND;2080273
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEM;2080338
2080346 HOSP MUN DR CARMINO CARICCHIO;2080346
2080354 HOSPITAL SANTO ANTONIO SANTOS;2080354
2080370 SANTA CASA DE PIRAJUI;2080370
2080400 HOSPITAL IMACULADA CONCEICAO RIBEIRAO PRET;2080400
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESC;2080427
2080443 HOSPITAL DA CASA PIA SAO VICENTE DE PAULA;2080443
2080478 SANTA CASA DE MISERICORDIA DE PEDREGULHO;2080478
2080508 SANTA CASA DE ALVARES MACHADO;2080508
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MA;2080532
2080567 SANTA CASA DE AGUAI;2080567
2080575 HOSPITAL BP;2080575
2080583 HOSP MUN TIDE SETUBAL;2080583
2080621 SANTA CASA POMPEIA;2080621
2080664 SANTA CASA DE TUPA;2080664
2080672 HOSPITAL SAO FRANCISCO TUPA;2080672
2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO;2080680
2080745 SANTA CASA DE SANTA CRUZ DAS PALMEIRAS;2080745
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;2080788
2080842 SANTA CASA DE MISERICORDIA DE CANDIDO MOTA;2080842
2080923 HOSPITAL SAO VICENTE;2080923
2080931 SANTA CASA DE SAO CARLOS;2080931
2080958 SANTA CASA DE MISERICORDIA DE PALMITAL;2080958
2080966 SANTA CASA DE ESTRELA DOESTE;2080966
2081059 HOSPITAL MUNICIPAL DE PAULINIA;2081059
2081083 SANTA CASA DE ASSIS;2081083
2081091 HOSPITAL MUNICIPAL DE ITAPIRA;2081091
2081164 HOSPITAL SANTA LYDIA RIBEIRAO PRETO;2081164
2081253 HOSPITAL SAO LUIZ DE ARARAS;2081253
2081261 HOSPITAL SAO LUIZ;2081261
2081296 HOSPITAL JOAO DEPIERI DE CAJOBI;2081296
2081350 HOSPITAL DE PIRAJU;2081350
2081377 SANTA CASA DE VOTUPORANGA;2081377
2081385 SANTA CASA DE TUPI PAULISTA;2081385
2081393 HOSPITAL SANTA ROSA DE LIMA DE SERRA NEGRA;2081393
2081458 SANTA CASA DE LIMEIRA;2081458
2081482 BOLDRINI CAMPINAS;2081482
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;2081490
2081512 SANTA CASA DE MISERICORDIA DE GUARATINGUET;2081512
2081555 SANTA CASA DE MISERICORDIA DE ITARARE;2081555
2081644 HOSPITAL FREI GALVAO;2081644
2081660 SANTA CASA DE IPAUCU;2081660
2081695 CONJUNTO HOSPITALAR SOROCABA;2081695
2081717 SANTA CASA DESCALVADO;2081717
2081784 HOSPITAL SANTA THEREZINHA BROTAS;2081784
2081814 SANTA CASA DE GUARARAPES;2081814
2081873 HOSPITAL E MATERNIDADE DE RANCHARIA;2081873
2081903 HOSPITAL DE CARIDADE DE VARGEM GRANDE DO S;2081903
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;2081970
2081989 HOSPITAL SAO SEBASTIAO DE BORBOREMA;2081989
2082098 HOSPITAL DR ADHEMAR DE BARROS APIAI;2082098
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;2082128
2082187 HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO;2082187
2082195 BENEFICENCIA PORTUGUESA DE AMPARO;2082195
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPAS S;2082225
2082306 SANTA CASA DE CASA BRANCA;2082306
2082322 HOSPITAL DONA BALBINA;2082322
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;2082349
2082381 HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINT;2082381
2082519 SANTA CASA DE PARAGUACU PAULISTA;2082519
2082527 SANTA CASA DE ARARAQUARA;2082527
2082586 SANTA CASA DE MISERICORDIA DE OSVALDO CRUZ;2082586
2082594 COMPLEXO HOSPITALAR MUNICIPAL;2082594
2082632 HOSPITAL E MATERNIDADE SAO JOSE BARRA BONI;2082632
2082640 SANTA CASA DE CARIDADE E MATERNIDADE IBITI;2082640
2082659 SANTA CASA DE NOVA GRANADA;2082659
2082667 SANTA CASA DE MONTE APRAZIVEL;2082667
2082691 SANTA CASA DE ANDRADINA;2082691
2082721 HOSPITAL E MATERNIDADE SOTERO DE SOUZA;2082721
2082748 HOSPITAL ANGATUBA;2082748
2082780 BENEFICENCIA HOSPITALAR DE CESARIO LANGE;2082780
2082810 CONDERG HOSPITAL REGIONAL DE DIVINOLANDIA;2082810
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NE;2082829
2082845 SANTA CASA DE OLIMPIA;2082845
2082853 HOSPITAL MAJOR ANTONIO CANDIDO BATATAIS;2082853
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;2082861
2082888 SANTA CASA DE RIO CLARO;2082888
2082926 CASA DE SAUDE STELLA MARIS;2082926
2082942 SANTA CASA DE MACATUBA;2082942
2083019 HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWAL;2083019
2083027 SANTA CASA DE MISERICORDIA DE PEREIRA BARR;2083027
2083051 SANTA CASA DE APARECIDA;2083051
2083086 HOSPITAL AMARAL CARVALHO JAU;2083086
